as_of_date,issuer,etf_name,error
2026-07-14,삼성,S&P500,Empty response for S&P500 2026-07-14
2026-07-14,삼성,KODEX S&P500,Empty response for KODEX S&P500 2026-07-14
2026-07-14,삼성,나스닥100,Empty response for 나스닥100 2026-07-14
2026-07-14,삼성,KOACT 나스닥,Empty response for KOACT 나스닥 2026-07-14
